添加日期,达人昵称,粉丝数,播放1,播放2,播放3,播放4,播放5,报价,建联状态,确定合作,最后跟进时间,建联时间,沟通记录,备注,达人级别,微信联系方式,触达次数,已创建日历
2024/3/1,美食博主小李,85000,320000.0,280000.0,450000.0,210000.0,390000.0,8000,已建联,确定合作,2024/3/15,2024/3/5,已加微信已确认合作,3月20号安排拍摄,S,wechat_demo_001,3,2024/3/10 09:30
2024/3/1,职场达人晓明,42000,150000.0,180000.0,95000.0,220000.0,130000.0,3500,已建联,已回复,2024/3/12,2024/3/3,已沟通报价等待确认,价格可谈,A,wechat_demo_002,2,
2024/3/2,萌宠频道豆豆,120000,560000.0,420000.0,380000.0,610000.0,490000.0,15000,未建联,,,2024/3/2,,待建联,粉丝量大互动好,S,,0,
2024/3/2,生活记录阿珍,18000,45000.0,62000.0,38000.0,55000.0,71000.0,,未建联,,,2024/3/2,,待建联,内容质量高,B,,0,
2024/3/3,科技数码老王,95000,280000.0,310000.0,260000.0,340000.0,295000.0,12000,已建联,,2024/3/18,2024/3/8,已发私信已回复,报价略高需谈判,A,wechat_demo_003,2,
2024/3/3,校园生活小欣,9500,88000.0,72000.0,115000.0,95000.0,83000.0,,已建联,已拒绝,2024/3/10,2024/3/6,已加微信已拒绝,暂无合作意向,B,,1,
2024/3/5,穿搭博主芳芳,67000,195000.0,230000.0,175000.0,210000.0,185000.0,5500,已建联,,2024/3/20,2024/3/10,已私信等待回复,内容调性契合,A,wechat_demo_004,1,
2024/3/5,健身教练大杰,33000,120000.0,98000.0,145000.0,110000.0,135000.0,2800,未建联,,,2024/3/5,,待建联,垂直领域精准,B,,0,
2024/3/8,旅行日记小梦,55000,210000.0,185000.0,240000.0,195000.0,220000.0,6000,已建联,,2024/3/22,2024/3/15,已建联沟通中,活跃粉丝多,A,wechat_demo_005,2,
2024/3/8,读书分享阿诚,7800,35000.0,42000.0,28000.0,50000.0,38000.0,,未建联,,,2024/3/8,,粉丝黏性高,受众质量好,C,,0,
2026/3/12,AI工具博主demo_A,471000,37000,31000,21000,22000,22000,6000,待建联,,,,,AI编程/工具内容，粉赞比4.7%，近期均赞2-4万，数据稳定,B,,0,
2026/3/12,AI测评达人demo_B,177000,10000,9500,1500,11000,600,2500,待建联,,,,,AI工具使用技巧，粉赞比6.2%，持续更新中,A,,0,
2026/3/12,商业创业博主demo_C,147000,9300,1100,1000,225000,101000,2000,待建联,,,,,AI/商业/流量方向，粉赞比3.6%，内容垂直,B,,0,
